Month Laid,Zone,Latitude,Longitude,GPS acc (m),Green,Loggerhead,Leatherback,Dist
8,16,27.72286245,-80.37806744,5,1,0,0,17
8,16,27.72751114,-80.3794308,5,1,0,0,18
8,16,27.72473911,-80.37869285,100,1,0,0,18
7,10,27.75734118,-80.39300522,5,0,1,0,18
8,11,27.75389966,-80.39104988,5,1,0,0,19
7,9,27.76754099,-80.39876929,5,1,0,0,19
8,11,27.75122249,-80.3894048,5,0,1,0,20
8,17,27.72028114,-80.37713595,5,1,0,0,21
7,11,27.75180768,-80.38969115,5,0,1,0,21
8,10,27.76072331,-80.39534404,10,1,0,0,21
8,17,27.71966477,-80.37687386,5,0,1,0,21
8,9,27.76735685,-80.39872184,5,0,1,0,21
7,9,27.76390375,-80.39697757,5,0,1,0,21
7,10,27.7619695,-80.39604013,5,1,0,0,21
9,15,27.7322101,-80.38066071,5,1,0,0,22
8,16,27.72617877,-80.37906489,10,0,1,0,23
7,10,27.75995359,-80.39488971,5,0,1,0,25
4,14,27.73988527,-80.38375868,5,0,0,1,25
8,10,27.75915096,-80.39427224,5,0,1,0,27
8,10,27.75933522,-80.39442603,5,0,1,0,33
7,15,27.73745097,-80.38264412,5,1,0,0,35
4,9,27.76430417,-80.39715833,10,0,0,1,38
6,15,27.73289179,-80.38102904,5,1,0,0,
